Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Total effort hours,Performance Index
5,87,Yes,6,1,6,72
6,78,Yes,8,4,10,68
4,49,Yes,5,0,4,29
9,83,Yes,8,2,11,78
8,56,Yes,5,2,10,45
1,46,No,7,2,3,20
2,93,Yes,4,2,4,66
9,79,No,4,7,16,77
8,78,No,7,0,8,72
3,43,Yes,5,5,8,26
8,74,No,7,5,13,67
1,90,Yes,5,0,1,67
4,86,No,7,0,4,68
3,75,No,7,2,5,56
6,70,Yes,7,7,13,61
7,64,No,4,5,12,50
4,80,No,5,3,7,68
7,52,No,9,4,11,47
9,57,No,7,9,18,56
2,60,No,8,2,4,40
3,87,No,8,5,8,68
5,40,No,4,5,10,26
3,75,No,6,5,8,55
8,89,Yes,9,8,16,84
8,47,No,4,9,17,40
8,91,Yes,6,7,15,85
9,87,Yes,4,5,14,85
4,60,No,8,1,5,40
5,82,No,7,3,8,68
5,91,Yes,5,5,10,74
8,92,Yes,7,8,16,90
7,92,Yes,8,1,8,82
9,60,No,5,5,14,57
8,66,No,6,9,17,61
2,58,No,6,9,11,38
4,62,Yes,8,9,13,46
6,90,No,5,6,12,80
2,89,No,7,7,9,67
7,90,No,8,8,15,84
3,82,No,6,4,7,58
3,74,Yes,8,8,11,55
2,79,No,7,8,10,57
8,91,No,4,6,14,87
6,90,Yes,9,1,7,80
1,81,No,9,7,8,54
1,87,Yes,9,4,5,64
7,44,Yes,4,7,14,33
8,91,No,7,1,9,83
5,80,Yes,5,6,11,66
5,47,No,8,4,9,33
4,50,Yes,7,3,7,31
6,55,Yes,4,9,15,40
6,78,No,6,5,11,66
3,86,Yes,9,4,7,67
9,63,No,9,5,14,64
7,60,No,7,8,15,52
1,91,No,9,0,1,68
7,62,No,9,0,7,58
5,88,Yes,7,5,10,72
5,77,No,7,1,6,65
2,86,Yes,4,7,9,65
4,47,No,4,6,10,24
6,46,Yes,9,5,11,35
7,41,Yes,7,3,10,34
5,69,Yes,7,8,13,57
9,52,Yes,9,6,15,54
3,62,No,5,6,9,42
1,68,No,6,4,5,39
4,77,Yes,8,0,4,62
9,76,Yes,8,1,10,71
4,59,No,9,7,11,42
2,72,Yes,8,4,6,52
5,68,Yes,4,1,6,54
3,89,No,4,4,7,68
9,54,Yes,5,7,16,50
4,62,Yes,9,3,7,46
6,81,No,4,2,8,68
2,42,Yes,9,4,6,19
6,76,No,9,6,12,68
3,95,No,7,1,4,74
9,68,No,6,0,9,63
2,84,No,6,4,6,60
9,47,Yes,9,6,15,47
5,61,No,6,7,12,47
8,92,No,6,7,15,87
2,68,Yes,8,9,11,45
6,41,No,8,8,14,31
3,80,Yes,7,0,3,61
5,88,No,5,6,11,73
8,98,No,4,9,17,92
1,89,No,4,7,8,65
5,84,No,8,5,10,69
3,40,Yes,9,9,12,20
4,83,Yes,6,3,7,66
2,59,Yes,7,6,8,38
9,91,No,5,2,11,81
3,60,No,8,1,4,39
2,76,No,9,5,7,53
9,47,Yes,7,1,10,44
7,66,No,9,5,12,58
6,86,Yes,7,9,15,79
1,98,Yes,8,2,3,75
5,74,Yes,7,1,6,59
3,45,No,6,7,10,23
1,99,No,7,3,4,74
4,84,No,5,3,7,65
2,83,No,7,6,8,60
2,58,Yes,4,7,9,32
3,57,Yes,7,8,11,38
8,95,No,9,9,17,91
8,40,No,8,7,15,34
7,64,No,4,3,10,46
6,66,Yes,8,1,7,55
9,46,No,9,9,18,43
4,83,Yes,5,4,8,67
1,81,Yes,6,6,7,56
8,68,Yes,5,1,9,58
7,70,Yes,4,3,10,60
7,83,Yes,9,5,12,77
3,82,Yes,9,7,10,69
4,75,Yes,6,9,13,60
9,58,No,7,5,14,52
6,45,No,4,5,11,36
5,64,No,6,5,10,49
3,70,Yes,8,3,6,50
9,48,Yes,6,2,11,48
5,59,No,8,0,5,43
5,49,Yes,8,1,6,34
4,76,Yes,9,1,5,57
4,66,Yes,6,9,13,50
1,52,Yes,9,6,7,28
7,80,Yes,9,5,12,72
9,41,Yes,5,7,16,38
3,89,Yes,5,8,11,68
2,60,Yes,9,4,6,41
3,72,Yes,9,2,5,53
1,63,Yes,8,3,4,36
6,92,Yes,9,7,13,80
7,83,Yes,4,2,9,73
2,81,No,6,1,3,59
8,73,Yes,4,6,14,67
6,99,Yes,5,3,9,91
4,48,No,4,7,11,34
5,41,No,7,0,5,23
8,94,No,7,7,15,86
3,95,Yes,5,4,7,73
3,69,Yes,4,1,4,49
4,61,No,6,0,4,43
1,85,No,5,5,6,61
9,50,No,7,8,17,45
8,94,Yes,5,8,16,85
8,82,Yes,4,8,16,75
6,56,No,4,3,9,44
7,75,Yes,4,5,12,66
6,52,Yes,8,9,15,45
9,46,No,4,5,14,40
3,55,No,9,4,7,38
3,72,No,7,1,4,50
3,84,Yes,7,6,9,67
3,40,Yes,8,0,3,21
9,50,Yes,7,5,14,51
4,45,Yes,7,4,8,25
7,59,Yes,5,4,11,53
9,74,No,4,7,16,71
7,83,Yes,9,8,15,77
9,76,Yes,9,6,15,75
3,80,No,5,9,12,60
4,65,No,9,7,11,49
8,97,No,5,1,9,87
6,51,No,9,1,7,40
5,69,Yes,7,7,12,56
4,67,Yes,6,5,9,49
8,66,No,4,7,15,59
1,81,Yes,6,8,9,59
9,58,No,7,8,17,54
1,44,Yes,8,5,6,17
8,97,Yes,5,7,15,90
4,44,Yes,9,1,5,23
9,80,No,9,7,16,82
5,66,No,7,2,7,49
3,67,Yes,9,0,3,50
9,65,Yes,7,6,15,60
9,66,No,6,0,9,60
4,91,No,8,0,4,74
4,88,Yes,5,0,4,71
8,81,Yes,9,3,11,77
2,60,No,8,3,5,34
9,40,Yes,8,9,18,39
6,93,No,8,5,11,85
9,67,No,4,9,18,64
8,87,Yes,8,2,10,87
7,97,Yes,7,9,16,91
1,97,Yes,4,5,6,73
3,54,No,4,6,9,34
2,94,No,8,0,2,70
5,56,No,9,5,10,42
5,65,Yes,9,9,14,55
5,59,Yes,9,0,5,45
4,64,No,9,6,10,49
5,52,No,7,9,14,37
3,72,Yes,9,4,7,55
1,64,No,5,9,10,38
5,47,Yes,8,3,8,35
9,44,Yes,4,0,9,41
9,45,No,5,8,17,43
4,62,No,9,6,10,46
3,91,No,5,1,4,69
1,69,No,4,3,4,37
2,53,No,9,3,5,31
8,93,Yes,5,7,15,90
1,62,No,7,1,2,33
8,50,Yes,7,4,12,44
7,70,No,8,9,16,62
8,45,No,8,7,15,41
6,50,No,5,5,11,38
9,52,No,4,3,12,45
3,51,No,7,4,7,34
4,93,No,6,1,5,72
6,41,Yes,8,4,10,29
8,92,No,7,2,10,83
5,74,No,9,2,7,61
3,94,No,5,6,9,75
6,75,No,7,2,8,63
4,56,Yes,7,3,7,36
9,67,Yes,5,6,15,62
3,67,Yes,8,2,5,49
4,61,Yes,8,9,13,46
7,77,Yes,6,9,16,69
7,46,Yes,6,1,8,35
4,54,No,8,9,13,38
6,71,No,8,6,12,62
3,50,Yes,8,4,7,30
6,63,No,8,0,6,52
2,42,No,7,9,11,16
8,69,No,6,7,15,66
2,45,No,5,2,4,20
7,97,No,4,6,13,86
9,41,Yes,5,5,14,38
1,53,Yes,9,9,10,30
8,80,Yes,4,5,13,71
7,57,Yes,7,7,14,49
6,90,Yes,9,3,9,79
6,83,Yes,6,3,9,69
6,70,No,4,2,8,56
9,52,Yes,8,0,9,47
2,65,No,9,9,11,41
1,83,No,7,2,3,58
6,51,Yes,4,0,6,38
8,57,Yes,8,5,13,52
3,48,Yes,9,7,10,25
1,88,No,7,2,3,62
9,60,Yes,9,3,12,60
1,87,Yes,4,4,5,63
3,88,Yes,8,6,9,72
8,92,No,6,5,13,84
3,95,Yes,7,1,4,74
4,79,Yes,4,6,10,61
8,82,No,8,7,15,77
1,63,No,6,0,1,36
6,73,No,9,5,11,65
1,47,Yes,8,8,9,23
1,83,Yes,6,6,7,60
8,92,No,4,4,12,83
4,72,Yes,8,9,13,56
1,62,No,8,9,10,37
7,52,No,5,8,15,43
5,93,No,7,1,6,76
5,92,No,8,6,11,83
1,88,No,6,8,9,63
6,53,Yes,7,1,7,39
9,53,Yes,4,9,18,48
9,55,Yes,7,5,14,53
8,88,Yes,5,8,16,84
5,77,No,4,2,7,63
1,97,Yes,8,7,8,73
9,99,No,9,4,13,99
1,78,No,4,6,7,52
8,65,Yes,4,2,10,58
5,65,Yes,5,7,12,50
3,40,No,6,1,4,18
7,71,Yes,4,7,14,62
7,96,Yes,6,1,8,87
9,54,Yes,7,6,15,53
7,91,Yes,9,1,8,87
3,60,No,5,6,9,37
1,57,No,8,0,1,31
8,69,Yes,4,5,13,63
3,99,No,9,9,12,81
8,97,No,9,6,14,95
8,52,Yes,6,3,11,45
5,63,Yes,4,0,5,48
1,69,No,9,5,6,47
7,41,No,5,3,10,31
5,58,No,8,2,7,43
8,86,Yes,7,3,11,82
9,83,No,7,5,14,80
7,86,No,6,4,11,76
7,64,Yes,9,1,8,57
1,89,No,7,1,2,64
4,53,Yes,6,2,6,35
2,45,Yes,8,5,7,24
2,51,No,4,0,2,30
2,59,Yes,5,6,8,38
4,62,Yes,8,7,11,45
1,69,No,8,6,7,44
4,69,Yes,7,2,6,53
2,77,No,7,5,7,53
5,97,Yes,5,3,8,84
3,69,Yes,4,4,7,47
8,80,No,8,2,10,76
4,69,No,9,4,8,57
1,96,No,7,5,6,71
1,97,Yes,8,7,8,74
3,75,No,4,5,8,54
9,88,Yes,6,8,17,84
7,73,No,4,9,16,62
2,55,Yes,8,9,11,35
9,63,No,8,9,18,62
2,53,Yes,5,9,11,30
3,65,No,8,3,6,47
2,47,Yes,7,1,3,25
3,53,Yes,9,8,11,40
6,70,Yes,5,2,8,56
9,41,Yes,8,6,15,38
9,87,No,4,3,12,86
7,43,Yes,8,0,7,38
3,40,No,4,7,10,17
4,94,Yes,4,3,7,75
6,59,No,8,5,11,48
5,98,Yes,4,6,11,87
2,53,Yes,9,7,9,32
6,79,No,6,9,15,68
3,64,No,5,1,4,42
8,99,Yes,8,8,16,96
2,64,No,6,9,11,42
1,42,No,4,2,3,18
9,44,No,4,0,9,41
3,77,Yes,5,1,4,54
1,93,No,6,7,8,67
7,65,Yes,6,9,16,57
5,79,No,8,5,10,65
5,77,No,4,0,5,62
1,77,Yes,7,8,9,56
9,43,No,8,6,15,39
7,46,No,8,9,16,38
8,69,No,8,2,10,65
9,69,No,5,6,15,68
6,95,No,5,5,11,82
5,58,No,8,2,7,44
6,78,No,9,7,13,67
2,74,Yes,7,0,2,53
4,79,Yes,6,4,8,61
3,72,Yes,6,7,10,53
7,72,Yes,4,2,9,61
9,53,Yes,6,9,18,49
5,77,No,6,5,10,61
6,49,Yes,7,9,15,38
2,96,Yes,6,1,3,76
3,67,No,7,8,11,47
3,53,Yes,5,1,4,32
9,75,No,7,4,13,71
7,77,No,5,2,9,69
8,55,Yes,7,9,17,53
9,99,Yes,8,8,17,100
6,60,No,9,8,14,49
4,67,No,5,6,10,48
1,72,Yes,5,9,10,45
8,45,No,6,4,12,40
7,80,Yes,5,8,15,71
2,54,Yes,7,6,8,34
8,83,Yes,8,1,9,76
5,42,Yes,8,9,14,29
7,82,No,6,0,7,71
4,86,No,7,9,13,69
5,74,Yes,7,9,14,58
8,53,Yes,4,3,11,43
1,41,No,5,9,10,17
1,68,No,6,7,8,41
4,43,No,8,5,9,27
3,65,No,9,1,4,45
2,90,No,4,4,6,65
3,51,Yes,7,8,11,31
1,41,Yes,5,5,6,14
1,56,Yes,8,5,6,33
6,74,Yes,4,6,12,60
5,49,No,7,4,9,34
8,87,No,8,2,10,82
2,61,Yes,8,2,4,40
4,80,Yes,7,4,8,66
8,82,No,7,3,11,76
6,60,Yes,6,4,10,46
1,54,Yes,8,8,9,31
4,74,No,7,4,8,57
1,87,No,9,3,4,65
2,60,No,9,3,5,38
5,60,Yes,4,0,5,46
8,60,No,5,9,17,53
8,99,No,9,3,11,97
3,83,Yes,6,3,6,63
4,71,No,7,8,12,55
6,94,Yes,5,3,9,79
3,44,Yes,6,6,9,26
2,78,Yes,8,0,2,55
6,48,Yes,5,6,12,37
5,92,No,9,1,6,78
5,57,Yes,6,7,12,45
5,60,No,7,0,5,45
5,47,No,7,9,14,34
3,83,No,6,2,5,66
7,91,No,8,7,14,79
6,73,No,9,9,15,63
4,49,Yes,6,7,11,32
2,90,No,4,4,6,64
9,80,Yes,6,4,13,78
1,96,Yes,6,7,8,69
4,63,Yes,9,9,13,46
1,79,No,7,4,5,54
6,63,No,8,8,14,51
4,95,No,6,0,4,78
5,71,No,5,4,9,54
5,95,Yes,7,2,7,80
9,72,No,7,2,11,67
1,77,No,6,1,2,48
2,83,Yes,9,2,4,61
6,96,Yes,5,6,12,83
5,95,Yes,6,7,12,82
7,90,Yes,5,7,14,78
3,98,Yes,7,7,10,78
3,88,Yes,5,0,3,70
2,73,Yes,6,6,8,48
3,50,No,4,1,4,26
1,70,No,4,9,10,46
5,57,Yes,5,3,8,42
5,62,Yes,9,4,9,46
7,99,No,6,0,7,91
4,61,Yes,8,3,7,47
3,82,Yes,4,3,6,61
1,57,Yes,7,8,9,31
8,79,Yes,6,8,16,71
3,86,Yes,6,9,12,66
2,80,No,4,0,2,52
4,86,Yes,8,7,11,71
3,78,Yes,7,3,6,60
1,59,Yes,8,3,4,32
3,52,No,7,4,7,33
2,84,No,4,1,3,56
8,40,Yes,6,0,8,32
6,91,Yes,7,4,10,76
9,43,Yes,6,6,15,40
8,63,Yes,5,9,17,60
3,75,No,5,8,11,54
5,75,No,4,1,6,59
7,84,Yes,4,7,14,74
5,41,Yes,9,6,11,29
8,67,No,4,1,9,61
5,65,No,5,4,9,50
1,62,Yes,7,6,7,36
5,54,Yes,8,2,7,41
4,75,Yes,4,1,5,60
6,66,No,8,5,11,56
3,45,No,8,9,12,23
5,74,No,5,5,10,63
2,78,No,9,3,5,54
6,77,Yes,7,0,6,64
6,74,No,5,4,10,64
5,75,No,4,0,5,58
6,49,No,5,7,13,38
7,69,Yes,5,1,8,60
5,92,No,5,8,13,79
1,80,No,4,8,9,57
8,77,No,4,2,10,69
4,68,Yes,5,5,9,51
9,91,No,5,8,17,86
6,98,Yes,8,6,12,90
1,82,Yes,7,3,4,57
3,78,No,8,2,5,61
3,89,Yes,9,1,4,71
4,43,No,7,9,13,30
6,44,Yes,9,9,15,34
7,43,Yes,7,0,7,34
4,75,No,5,9,13,58
6,98,No,8,0,6,85
1,84,Yes,7,3,4,55
8,55,Yes,9,3,11,51
7,64,Yes,7,8,15,53
9,53,Yes,4,9,18,51
3,50,No,7,0,3,31
2,68,Yes,5,3,5,44
1,73,Yes,6,2,3,48
3,61,No,4,8,11,41
5,53,Yes,6,4,9,40
2,95,No,5,8,10,72
3,63,No,6,9,12,41
4,98,No,7,5,9,78
7,78,Yes,6,8,15,70
3,65,No,8,0,3,41
9,82,No,5,3,12,78
8,75,No,8,3,11,70
4,78,Yes,6,9,13,61
1,55,Yes,8,9,10,33
1,97,Yes,4,5,6,71
1,77,Yes,6,9,10,51
1,98,No,9,0,1,72
8,71,No,8,9,17,69
3,45,No,7,4,7,21
6,73,Yes,6,2,8,61
3,95,No,9,0,3,76
5,47,Yes,4,5,10,30
7,69,Yes,7,2,9,59
2,66,Yes,6,3,5,45
6,46,No,7,8,14,39
6,66,No,6,1,7,53
3,64,Yes,6,0,3,43
6,95,No,5,9,15,85
5,85,Yes,8,5,10,70
2,80,No,6,0,2,56
9,54,Yes,4,0,9,52
8,64,Yes,9,6,14,65
3,61,Yes,8,1,4,39
8,57,No,5,3,11,48
9,51,No,8,3,12,47
3,62,No,8,1,4,41
3,90,No,6,5,8,72
2,84,No,4,9,11,61
8,78,Yes,6,1,9,74
1,64,No,4,7,8,38
8,49,Yes,4,3,11,42
7,69,No,7,0,7,60
7,49,No,6,6,13,35
3,73,No,5,5,8,52
1,85,Yes,9,5,6,61
4,52,No,8,2,6,32
9,93,Yes,7,9,18,95
5,68,No,5,6,11,53
1,77,Yes,9,5,6,54
5,80,Yes,9,9,14,70
8,84,Yes,6,9,17,78
8,48,Yes,4,8,16,42
5,52,No,6,2,7,33
9,76,No,9,2,11,75
1,53,Yes,6,3,4,26
4,76,No,7,2,6,58
3,48,Yes,5,3,6,29
2,47,No,9,5,7,29
8,78,No,7,0,8,70
7,79,No,5,1,8,67
9,93,Yes,7,9,18,93
2,42,No,8,5,7,21
4,94,Yes,4,5,9,74
6,95,No,4,0,6,82
3,86,Yes,4,5,8,65
8,79,No,8,8,16,75
3,72,Yes,9,7,10,55
2,71,Yes,9,9,11,54
3,46,Yes,8,4,7,26
6,58,No,4,3,9,48
2,73,Yes,4,5,7,49
8,53,No,5,4,12,49
1,89,Yes,5,5,6,64
7,86,Yes,6,9,16,81
2,85,Yes,7,2,4,64
6,95,No,5,6,12,82
2,96,No,5,7,9,74
2,58,No,5,4,6,32
8,90,No,5,4,12,83
2,93,No,8,3,5,68
7,98,No,6,9,16,90
3,65,No,5,4,7,44
8,56,Yes,9,9,17,51
7,93,Yes,7,7,14,86
8,67,No,5,4,12,62
7,58,No,8,8,15,48
6,66,No,9,0,6,56
7,87,No,4,6,13,79
5,91,No,4,4,9,74
7,96,Yes,6,3,10,82
1,58,No,4,2,3,32
1,72,No,5,9,10,46
9,90,No,8,6,15,88
5,46,Yes,6,1,6,35
5,68,Yes,9,4,9,56
3,94,Yes,5,1,4,74
5,82,Yes,4,6,11,67
3,44,No,7,5,8,23
9,69,Yes,5,9,18,67
9,88,Yes,7,6,15,86
6,82,Yes,9,8,14,70
1,95,Yes,7,1,2,68
7,97,Yes,9,8,15,91
7,47,No,6,6,13,42
4,81,Yes,8,1,5,62
8,51,Yes,4,9,17,44
6,81,Yes,4,1,7,67
4,52,No,5,3,7,35
4,65,No,4,1,5,46
2,57,No,6,0,2,31
2,81,No,4,5,7,59
4,90,No,5,9,13,71
5,91,No,4,4,9,74
8,88,No,8,2,10,80
6,59,No,9,0,6,49
4,55,Yes,7,8,12,39
7,76,Yes,7,7,14,67
8,42,No,9,5,13,38
2,66,Yes,7,5,7,47
7,54,No,8,3,10,41
2,97,Yes,6,1,3,75
2,73,Yes,5,3,5,53
8,84,No,8,1,9,81
2,61,Yes,5,6,8,37
9,79,No,6,8,17,77
1,62,No,8,1,2,36
9,98,Yes,4,8,17,95
1,88,No,6,8,9,65
2,43,Yes,7,7,9,18
6,90,Yes,8,0,6,80
6,93,No,6,4,10,81
1,96,No,6,9,10,73
7,80,No,8,3,10,74
8,62,No,7,6,14,57
2,86,No,9,7,9,64
8,99,Yes,7,9,17,97
9,48,No,6,7,16,42
6,63,Yes,5,1,7,48
5,60,No,9,2,7,46
9,80,Yes,9,9,18,79
9,85,Yes,6,9,18,83
1,94,Yes,8,6,7,70
3,92,Yes,8,3,6,73
9,55,Yes,8,5,14,56
2,95,No,7,7,9,71
4,94,Yes,4,7,11,76
4,64,No,8,6,10,49
2,65,Yes,8,1,3,43
3,88,No,9,1,4,67
3,84,Yes,5,2,5,63
1,48,Yes,5,3,4,18
6,54,No,6,0,6,43
8,78,No,6,4,12,72
3,72,Yes,6,6,9,57
5,40,Yes,8,9,14,25
1,44,No,5,4,5,15
7,95,Yes,6,6,13,88
1,48,Yes,5,4,5,24
9,83,No,8,9,18,81
8,45,Yes,9,7,15,40
7,67,Yes,8,6,13,60
7,84,No,6,0,7,73
5,65,Yes,8,0,5,52
5,67,No,8,4,9,53
5,79,No,5,1,6,65
1,54,Yes,4,8,9,30
8,45,Yes,7,1,9,39
1,66,No,6,8,9,43
4,77,No,4,9,13,59
9,43,Yes,9,1,10,38
9,50,No,6,3,12,44
5,60,Yes,4,2,7,44
4,69,No,8,5,9,53
3,57,No,6,3,6,37
3,74,No,4,8,11,52
5,42,Yes,7,8,13,30
1,51,No,8,9,10,22
5,66,No,6,8,13,51
6,92,No,9,2,8,82
7,69,No,9,2,9,63
9,60,Yes,6,3,12,58
3,77,No,4,8,11,58
2,60,Yes,6,5,7,38
3,99,No,8,8,11,80
9,77,No,5,7,16,70
7,79,Yes,9,6,13,72
9,54,Yes,4,4,13,48
2,57,No,7,8,10,36
5,91,No,6,3,8,73
4,68,No,8,3,7,51
2,87,Yes,6,7,9,63
9,77,No,7,3,12,74
9,99,Yes,8,6,15,98
6,60,No,7,3,9,45
6,56,Yes,8,0,6,45
8,80,Yes,5,9,17,74
6,90,Yes,9,8,14,81
1,57,No,8,3,4,30
4,96,No,7,2,6,77
7,94,Yes,4,2,9,86
2,76,Yes,9,8,10,58
9,99,Yes,5,7,16,99
8,77,No,6,9,17,69
8,51,No,5,6,14,47
7,50,No,5,6,13,42
4,87,Yes,6,3,7,73
2,91,No,8,2,4,71
3,88,No,5,3,6,68
6,59,No,9,5,11,47
5,48,Yes,5,3,8,31
8,40,No,4,3,11,31
6,97,No,9,1,7,86
6,42,No,4,6,12,27
1,60,No,9,5,6,32
4,62,No,7,1,5,41
5,48,Yes,6,4,9,33
3,93,Yes,9,5,8,75
9,58,Yes,9,4,13,57
1,84,Yes,8,3,4,59
6,94,No,8,8,14,87
6,85,No,7,2,8,72
5,91,Yes,8,1,6,78
5,58,Yes,8,8,13,46
5,62,Yes,4,7,12,47
6,66,No,8,8,14,58
8,66,No,8,9,17,63
2,78,No,7,2,4,56
6,75,Yes,7,0,6,62
1,51,Yes,5,0,1,23
4,94,Yes,8,2,6,73
3,66,No,8,3,6,46
9,85,No,9,1,10,80
3,73,Yes,8,7,10,59
6,72,Yes,4,2,8,60
1,67,No,9,3,4,41
6,70,No,8,5,11,61
4,71,Yes,4,9,13,51
8,89,Yes,5,5,13,82
9,59,No,9,1,10,55
4,79,Yes,6,5,9,64
6,74,Yes,8,3,9,61
1,70,No,9,4,5,44
4,97,Yes,7,6,10,81
7,70,No,9,6,13,64
1,77,Yes,7,5,6,53
8,61,No,8,9,17,55
6,84,Yes,4,5,11,72
5,80,Yes,7,5,10,65
9,48,Yes,9,3,12,44
2,91,No,9,2,4,70
5,48,Yes,7,0,5,34
6,54,Yes,5,2,8,41
7,52,No,5,2,9,43
5,61,Yes,5,8,13,48
9,55,No,7,2,11,46
1,71,No,7,7,8,47
7,41,No,9,7,14,37
7,65,Yes,8,2,9,56
4,53,No,8,9,13,40
9,98,Yes,4,9,18,96
5,77,No,7,5,10,63
4,73,Yes,8,7,11,58
7,47,No,8,7,14,36
4,75,No,5,9,13,61
3,60,Yes,5,9,12,39
9,95,No,5,8,17,90
8,85,Yes,6,8,16,79
1,82,No,8,7,8,58
7,95,Yes,5,6,13,89
9,67,No,5,9,18,64
8,85,No,7,2,10,78
8,83,Yes,9,6,14,79
6,87,No,5,3,9,72
4,45,Yes,7,1,5,26
8,59,Yes,4,7,15,52
3,70,No,5,1,4,49
9,72,No,9,0,9,66
2,83,No,7,4,6,59
2,46,Yes,9,9,11,28
7,47,Yes,5,8,15,39
4,48,No,4,4,8,31
8,41,Yes,5,1,9,33
9,56,No,7,9,18,57
7,91,No,4,3,10,83
5,84,No,4,7,12,69
8,76,Yes,4,6,14,71
4,81,Yes,6,4,8,62
2,83,No,7,3,5,58
6,56,Yes,6,4,10,46
9,92,No,9,6,15,93
1,77,No,4,4,5,48
7,74,Yes,6,7,14,68
9,99,No,5,6,15,97
9,86,No,6,6,15,82
3,78,No,8,8,11,57
5,69,No,9,7,12,55
8,45,No,4,7,15,37
8,43,Yes,4,5,13,35
4,90,Yes,9,6,10,72
1,76,No,9,7,8,51
1,74,Yes,7,4,5,50
4,97,No,5,9,13,82
6,96,No,9,1,7,84
8,48,No,9,6,14,46
6,45,No,7,9,15,34
9,52,Yes,9,2,11,55
9,98,Yes,6,9,18,95
2,61,No,8,7,9,40
1,67,Yes,8,5,6,42
2,69,No,8,3,5,45
5,91,Yes,9,1,6,80
4,75,No,8,6,10,60
4,41,No,5,0,4,21
9,97,No,6,6,15,95
8,75,Yes,8,9,17,72
6,47,Yes,4,9,15,35
1,84,No,9,6,7,58
2,81,Yes,6,9,11,59
6,89,Yes,5,2,8,77
2,48,Yes,8,3,5,23
5,40,Yes,5,3,8,26
5,52,Yes,9,3,8,39
6,89,Yes,8,8,14,79
6,54,Yes,4,5,11,39
6,71,Yes,6,9,15,61
2,73,Yes,4,8,10,47
3,82,Yes,8,3,6,63
6,70,Yes,7,6,12,61
8,53,Yes,6,9,17,51
1,93,Yes,5,8,9,68
1,86,No,8,9,10,66
2,53,No,4,2,4,29
6,87,Yes,9,2,8,78
9,94,Yes,7,5,14,94
4,68,Yes,9,7,11,56
3,86,No,8,0,3,68
8,58,No,5,3,11,50
9,66,Yes,4,7,16,62
5,48,Yes,6,5,10,31
9,76,Yes,7,1,10,73
2,76,Yes,8,7,9,57
3,82,Yes,8,0,3,60
7,67,No,8,0,7,56
7,91,Yes,8,6,13,88
6,96,No,4,9,15,84
6,63,Yes,6,2,8,48
2,67,Yes,5,7,9,41
6,75,No,7,8,14,65
4,91,No,8,7,11,74
3,57,Yes,9,0,3,38
2,64,No,8,0,2,40
1,74,Yes,6,5,6,49
5,43,No,6,0,5,30
2,53,No,4,7,9,29
2,78,Yes,4,5,7,57
7,65,Yes,9,4,11,58
8,47,No,9,5,13,40
8,63,Yes,4,3,11,60
4,55,No,7,0,4,41
1,59,No,9,6,7,34
7,54,Yes,4,9,16,46
1,46,No,8,8,9,24
4,97,Yes,4,3,7,79
8,56,Yes,7,3,11,52
2,61,No,4,8,10,36
6,61,Yes,4,3,9,52
6,93,No,8,9,15,84
9,51,No,9,3,12,50
5,57,Yes,8,7,12,47
4,95,Yes,8,3,7,81
5,85,No,4,8,13,70
5,86,Yes,8,7,12,77
8,54,No,6,4,12,49
8,76,No,5,8,16,70
2,55,No,5,7,9,28
7,44,No,8,9,16,36
8,41,No,9,3,11,34
6,91,Yes,7,3,9,80
5,67,No,8,0,5,51
9,96,No,9,3,12,95
3,80,No,8,7,10,60
4,93,No,4,4,8,78
9,66,No,9,5,14,65
6,70,No,7,3,9,57
8,80,Yes,8,4,12,75
7,75,Yes,6,9,16,69
2,86,No,9,7,9,62
3,82,No,5,8,11,63
1,40,No,9,2,3,11
9,89,Yes,6,9,18,91
7,68,No,6,3,10,58
1,40,No,6,0,1,15
3,47,No,7,4,7,24
4,96,No,7,3,7,80
4,55,No,9,5,9,36
5,97,No,7,5,10,83
3,67,Yes,5,9,12,49
3,61,No,4,5,8,41
1,57,No,9,2,3,33
7,61,No,8,6,13,52
1,80,No,8,2,3,52
2,51,No,9,5,7,31
4,58,No,4,9,13,38
4,64,No,8,0,4,45
5,89,No,9,7,12,79
2,98,No,9,6,8,78
4,44,Yes,6,8,12,24
1,98,Yes,5,2,3,72
2,73,Yes,8,7,9,52
1,78,No,5,1,2,50
4,98,Yes,9,8,12,83
4,49,Yes,4,0,4,32
7,86,Yes,9,9,16,84
9,96,Yes,8,6,15,95
9,46,No,5,9,18,43
5,99,Yes,6,0,5,82
1,76,Yes,6,5,6,54
1,86,No,9,0,1,59
6,91,Yes,4,3,9,78
2,99,No,7,6,8,79
8,91,Yes,8,1,9,87
9,54,Yes,9,2,11,53
4,81,Yes,6,3,7,65
5,63,No,6,5,10,48
8,65,Yes,4,8,16,61
3,65,Yes,6,3,6,41
5,85,No,8,5,10,75
3,65,Yes,4,6,9,44
3,97,Yes,5,3,6,79
3,49,Yes,4,5,8,29
7,56,Yes,8,2,9,44
7,92,Yes,8,4,11,85
7,53,No,5,9,16,40
8,41,No,9,3,11,36
5,87,No,4,6,11,72
5,52,Yes,8,5,10,36
4,66,Yes,8,6,10,51
7,48,Yes,5,5,12,38
4,46,Yes,7,1,5,28
2,87,Yes,4,6,8,59
4,49,No,8,7,11,30
8,95,No,6,6,14,88
9,93,No,5,3,12,87
3,48,Yes,7,3,6,27
